CODE	NAME	KOMMENT
218	"""Дата начала лечения"" больше ""Даты окончания лечения"""	"Измените значение одного из полей ""Даты начала лечения"" или ""Даты окончания лечения"""
219	"Поле ""Исход лечения"" не заполнено"	"Заполните поле ""Исход лечения"""
220	"Поле ""Исход лечения"" не соответствует справочнику"	"Заполните поле ""Исход лечения"" в соответствии со справочником"
221	"Поле ""Исход обращения"" не заполнено"	"Заполните поле ""Исход обращения"""
222	"Поле ""Исход обращения"" не соответствует справочнику"	"Заполните поле ""Исход обращения"" в соответствии со справочником"
223	"Поле ""Вид обращения"" не заполнено"	"Заполните поле ""Вид обращения"""
224	"Поле ""Вид обращения"" не соответствует справочнику"	"Заполните поле ""Вид обращения"" в соответствии со справочником"
225	"Поле ""Код отделения"" не заполнено"	"Заполните поле ""Код отделения"""
226	"Поле ""Код отделения"" содержит профиль отделения не из справочника"	"Заполните поле ""Код отделения"" в соответствии со справочником"
227	"Поле ""Условия оказания медицинской помощи"" не заполнено"	"Заполните поле ""Вид медицинской помощи"""
228	"Поле ""Условия оказания медицинской помощи"" не соответствует справочнику"	"Заполните поле ""Вид медицинской помощи"" в соответствии со справочником"
229	"Поле ""Профиль койки"" не заполнено для стационара"	"Заполните значение поля ""Профиль койки"""
230	"Поле ""Профиль койки"" заполнено для поликлиники"	"Очистите поле ""Профиль койки"""
231	"Поле ""Профиль койки"" не соответствует справочнику"	"Заполните значение поля ""Профиль койки"" в соответствии со справочником"
232	"Поле ""Диагноз основного заболевания"" не заполнено"	"Заполните значение поля ""Диагноз"""
233	"Поле ""Диагноз основного заболевания"" не соответствует справочнику"	"Заполните значение поля ""Диагноз"" в соответствии со справочником"
234	"Поле ""Код услуги"" не заполнено"	"Заполните значение поля ""Код услуги"""
235	"Поле ""Код услуги"" не соответствует справочнику"	"Заполните значение поля ""Код услуги"" в соответствии со справочником"
236	"Поле ""Дата начала выполнения услуги"" не заполнено"	"Заполните значение поля ""Дата начала выполнения услуги"""
237	"""Дата начала выполнения услуги"" меньше ""Даты начала лечения"""	"Измените значение поля ""Дата начала выполнения услуги"""
238	"Поле ""Дата окончания выполнения услуги"" не заполнено"	"Заполните значение поля ""Дата окончания выполнения услуги"""
239	"""Дата окончания выполнения услуги"" меньше ""Даты начала выполнения услуги"""	"Измените значение поля ""Дата начала"" или ""Дату окончания выполнения услуги"""
240	"""Дата окончания выполнения услуги"" больше ""Даты окончания лечения"""	"Измените значение поля ""Дата окончания выполнения услуги"""
243	"Поле ""Количество услуг"" заполнено некорректно"	"Правильно заполните значение поля ""Количество услуг"" (должно быть больше нуля)"
244	"Поле ""Тариф"" заполнено некорректно"	"Правильно заполните значение поля ""Тариф"" (должно быть больше нуля)"
245	"Поле ""Сумма к оплате"" не совпадает с ""Количеством услуг"", умноженным на ""Тариф"""	"Исправьте поле ""Сумма к оплате"""
246	"Поле ""Сумма к оплате"" по персональному счету не совпадает со стоимость оказанных услуг"	Проверьте суммы по персональному счету в паспортной части и медицинских услугах
241	"Нет услуги, у которой ""Дата окончания"" совпадала бы с ""Датой окончания лечения"""	Проставьте правильно сроки лечения
242	"Нет услуги, у которой ""Дата начала"" или ""Дата окончания"" совпадала бы с ""Датой начала лечения"""	Проставьте правильно сроки лечения
122	"Поле ""Номер реестра счетов"" не уникально внутри реестра счетов"	"Исправьте значение поля ""Номер реестра счетов"""
211	"Поле ""Страна"" не заполнено"	"Заполните поле ""Страна"""
212	"Поле ""Страна"" не соответствует справочнику"	"Заполните поле ""Страна"" в соответствии со справочником"
258	"Поле ""Код страховщика"" не соответствует справочнику"	"Заполните поле ""Код страховщика"" в соответствии со справочником"
247	"Поле ""Серия полиса"" не заполнено"	"Заполните поле ""Серия полиса"""
248	"Поле ""Номер полиса"" не заполнено"	"Заполните поле ""Номер полиса"""
251	"Для инокраевого пациента значение поля ""Код ОКАТО территории страхования по ОМС"" равно ""Краснодарский край"""	"Измените значение поля ""Территориальный фонд ОМС"" для инокраевого пациента"
253	"Поле ""Адрес"" не заполнено"	"Заполните поле ""Адрес"""
252	"Поле ""Код льготы"" не соответствует справочнику"	"Заполните поле ""Код льготы"" в соответствии со справочником"
254	"Поле ""Направившее ЛПУ"" не соответствует справочнику"	"Заполните поле ""Направившее ЛПУ"" в соответствии со справочником"
263	"Поле ""Код направившей медицинской организации (заказчика) в системе ОМС"" не заполнено"	"Заполнить поле ""Код направившей медицинской организации (заказчика) в системе ОМС"""
264	"Поле ""Номер направления"" не заполнено"	"Заполните поле ""Номер направления"""
265	"Поле ""Дата направления"" не заполнено"	"Заполните поле ""Дата направления"""
266	"Поле ""Дата направления"" больше ""Даты начала лечения"""	"Правильно заполните ""Дата направления"" или ""Дата начала лечения"""
267	"Поле ""Дата направления"" меньше ""Даты рождения"""	"Правильно заполните ""Дата направления"" или ""Дата рождения"""
268	"Заполнено поле ""Номер направления"" для счета не по внешним услугам"	"Очистите поле ""Номер направления"" или установите ""Признак: счет за внешнюю услугу"" равным 1"
269	"Заполнено поле ""Дата направления"" для счета не по внешним услугам"	"Очистите поле ""Дата направления"" или установите ""Признак: счет за внешнюю услугу"" равным 1"
270	"Поле ""Признак: счет за внешнюю услугу"" не заполнено"	"Заполните поле ""Признак: счет за внешнюю услугу"""
271	"Поле ""Признак: счет за внешнюю услугу"" заполнено не корректно"	"Правильно заполните поле ""Признак: счет за внешнюю уcлугу"""
275	"Поле ""Признак: счет за внешнюю услугу"" установлен у медицинской организации, не имеющей права оказывать внешние услуги"	"Установите значение поля ""Признак: за внешние услуги"" равным 0"
276	Код направившей мед.организации совпадает с кодом мед.организации, выставившей реестр на оплату	"Правильно заполните поле ""Код направившей медицинской организации"""
301	Есть дублированные строки услуг по коду услуги, дате выполнения и отделению	Удалите дублированные счета
302	Услуга отсутствует в справочнике тарифов	Исправьте код услуги или переутвердите справочник тарифов
303	Тариф на услугу не соответствует выставленному коду услуги	"Исправьте поле ""Тариф"" или переутвердите справочник тарифов"
304	Количество койко-дней превышает период лечения	Проставьте правильное количество койко-дней
305	Услуга с указанным диагнозам не подлежит оплате в системе ОМС	"Удалите из реестра услугу с данным диагнозом или измените поле ""Диагноз"""
306	Вид медицинской помощи не должен оказываться в этой МО	Удалите из реестра данные счета или поменяйте вид медицинской помощи
307	Выставлен не нулевой тариф на услугу, входящую в стандарт ОМП	Измените тариф на услугу, или удалите стандарт ОМП
308	В реестре счетов найден дублирующий счет по ФИО, дате рождения, отделению, медицинской услуге и дате оказания услуги	Исключите повторный счет из реестра
309	"Количество койко-дней не совпадает с количеством услуг для услуги ""Койко-день"""	Проставьте правильное количество койко-дней
312	Срок подачи персонального счета на оплату истек	Счет оплачен не будет
313	Срок подачи персонального счета на оплату повторно истек	Счет оплачен не будет, истек срок подачи персонального счета повторно
314	Выставлен на оплату стандарт ОМП по незаконченному случаю лечения	Удалите из персонального счета стандарт ОМП
315	Некорректно выставлена услуга сверх стандарта ОМП	Удалите услугу из счета или измените код услуги
316	Количество приемов больше единицы	"Заполните правильно значение ""Количество"" для услуги - прием"
317	Выставлены на оплату одновременно стандарт ОМП и услуга койко-день	Удалите стандарт ОМП или услугу койко-день
318	В ранее поданных реестрах по этому ЛПУ найден похожий счет по ФИО, дате рождения и услуге	Исключите ошибочно поданный счет из реестра
319	Длительность лечения меньше плановой длительности по этому стандарту ОМП	Измените код стандарта или переоформите персональный счет без указания стандарта
320	Количество стандартов ОМП не должно быть больше 1	Исправьте количество услуг для услуги-стандарт ОМП
321	Дублирование направления внутри реестра	Проверить дату и номер направления
328	Счет выставлен за внешние услуги, но признак счета - не внешний	"Установите поле ""Признак - внешняя услуга""=1, заполните № и дату направления"
322	Направление не найдено	Исправить код направившей МО, номер и дату направления
323	В направлении не совпадает код МО-исполнителя	Сверьте данные направления с МО-заказчиком
324	Не совпадает ФИО пациента с направлением	Исправьте ФИО и дату рождения пациента
325	Не совпадает код услуги исполнителя с направлением	Исправьте код услуги
326	Количество услуг в выполненном направлении более 1	Исправьте количество услуг на 1
327	Услуга по направлению оплачена ранее	Исключите персональный счет из реестра
401	Полис не найден в БД застрахованных	Проверьте серию и номер полиса
402	Пациент найден в БД застрахованных по полису, но ФИО не совпадают	Проверьте ФИО, данные полиса
403	Пациент найден в БД застрахованных по ФИО, но серия и номер полиса не совпадают	Проверьте данные полиса
404	Пациент найден в БД застрахованных по ФИО, серии и номеру полиса, но код страховой не совпадает	Измените значение страховой организации
405	Пациент найден в БД застрахованных, но полис недействителен или срок договора истек	Определите данные полиса и плательщика по БД застрахованных
406	"Пациент найден в БД застрахованных, но поле ""Категория"" не совпадает"	"Измените значение поля ""Категория"""
407	Пациент найден в БД застрахованных по паспорту, но ФИО не совпадают	Проверьте ФИО, данные паспорта
310	Выставлен счет на инокраевого пациента СМО Краснодарского края	Выставьте счет на оплату плательщику за инокраевых пациентов
311	Выставлен счет на краевого пациента плательщику за инокраевых	Выставьте счет на оплату другому плательщику
329	Выставлен не нулевой тариф на простую услугу, выполненную в период лечения по стандарту или услуге койко-дня	Исправьте тариф на услугу
330	Не выполнены простые услуги со 100% применяемостью	Заполните все услуги со 100% применяемостью, при необходимости обратитесь в ДЗ КК либо к профильному внештатному специалисту
331	В счете по данному отделению, профилю койки и диагнозу содержится стандарт ОМП более одного раза	Замените стандарт ОМП на услуги койко-дня
332	В счете по данному отделению, профилю койки и диагнозу содержится одновременно CОМП и услуга койко-дня (без обоснования)	Представьте обоснование сверхнормативной длительности
114	"Поле ""Код медицинской организации в системе ОМС"" не соответствует значению, заданному в имени файла"	Исправьте имя файла или код медицинской организации в реестре счетов
153	"Поле ""Метод оплаты"" содержит разные значения внутри реестра счетов"	"Заполните поле ""Метод оплаты"" в соответствии с выбранным методом"
123	"Поле ""Номер реестра счетов"" не уникально в течение года"	"Исправьте значение поля ""Номер реестра счетов"""
259	"Поле ""Дата формирования персонального счета в МО"" не заполнено"	"Заполните поле ""Дата формирования персонального счета в МО"""
260	"Поле ""Количество койко-дней"" не заполнено или заполнено некорректно"	"Заполните корректно поле ""Количество койко-дней"" (должно быть больше 0)"
261	"Поле ""Количество койко-дней"" заполнено для поликлиники"	"Очистите поле ""Количество койко-дней"""
190	Срок подачи реестра счета истек	Счет оплачен не будет, срок подачи реестра за этот период истек
262	"""Дата формирования персонального счета в МО"" меньше ""Даты окончания лечения"""	"Правильно заполните поле ""Дата формирования персонального счета в МО"""
143	Дата формирования реестра счетов не попадает в отчетный период	"Правильно заполните поле ""Дата формирования реестра счетов"""
191	Общая сумма по паспортной части не совпадает с общей суммой по услугам	Проверьте правильность выставления сумм паспортной части и услуг
277	Количество койко-дней заполнено для услуги, не являющейся стандартом и койко-днем	Очистите поле койко-день
173	"Есть данные в таблице ""Простые медицинские услуги"", выполненные вне ЛПУ"", но нет данных в таблице ""Персональная часть"""	Исключите простые услуги или добавьте персональный счет
278	"Поле ""Код услуги вне ЛПУ"" не заполнено"	"Заполните значение поля ""Код услуги вне ЛПУ"""
279	"Поле ""Код услуги вне ЛПУ"" не соответствует справочнику"	"Заполните значение поля ""Код услуги вне ЛПУ"" в соответствии со справочником"
280	"Поле ""Количество услуг вне ЛПУ"" не заполнено"	"Заполните значение поля ""Количество услуг вне ЛПУ"""
281	"Поле ""Количество услуг вне ЛПУ"" заполнено некорректно"	"Заполните значение поля ""Количество услуг вне ЛПУ"" корректно"
282	"Поле ""Дата выполнения услуги вне ЛПУ"" не заполнено"	"Заполните значение поля ""Дата выполнения услуги вне ЛПУ"""
283	"Поле ""Код ЛПУ, выполнившего внешнюю услуг"" не соответствует справочнику"	"Заполните значение поля ""Код ЛПУ, выполнившего внешнюю услуг"" в соответствии со справочником"
284	"Поле ""Код ЛПУ, выполнившего внешнюю услуг"" совпадает с текущем ЛПУ"	"Заполните значение поля ""Код ЛПУ, выполнившего внешнюю услуг"" корректно"
500	"Некорректно заполнено ""Адрес"""	"Правильно заполните ""Адрес"""
501	"Некорректно заполнено ""Наименование инокраевой СМО"""	"Правильно заполните ""Наименование инокраевой СМО"""
502	"Некорректно заполнено ""Серия полиса"""	"Правильно заполните ""Серия полиса"""
503	"Некорректно заполнено ""Номер полиса"""	"Правильно заполните ""Номер полиса"""
504	"Некорректно заполнено ""Фамилия"""	"Правильно заполните ""Фамилия"""
505	"Некорректно заполнено ""Имя"""	"Правильно заполните ""Имя"""
506	"Некорректно заполнено ""Отчество"""	"Правильно заполните ""Отчество"""
507	"Некорректно или не заполнено поле ""ФИО сопровождающего лица"" (в счете на ребенка)"	"Правильно заполните поле ""ФИО сопровождающего лица"""
001	В принимаемых файлах нет данных	
002	Структура файлов реестров не соответствует Положению 6.0	
003	Файлы содержат некорректные значения дат	
508	Не заполнено место работы (для инокраевых)	Заполнить место работы
509	Категории граждан, медицинская помощь которым, не подлежит оплате из средств ОМС	Исключить персональный счет или уточнить полис ОМС
510	Указан полис ДМС	Исключить персональный счет или уточнить полис ОМС
511	Оказанная медицинская помощь требует уточнения	Представить подробную выписку с полным клиническим диагнозом, объемом обследования и лечения
512	Дублирование ранее оплаченного счета (в одном подразделении МО)	"Отклонить от оплаты как завышение объема (""приписка"")"
513	Дублирование отправленного счета из разных подразделений МО	Исключить повторный персональный счет из реестра
514	Выставлен счет за амбулаторно-поликлиническую услугу (или ДС) в период стационарного лечения	Удалить персональный счет за поликлиническую помощь (консультации)
515	Дублирование ранее отправленного счета из другой МО	Уточнить у врача-эксперта в ИД  КТФОМС
516	Код МКБ-10 подразумевает оказание медицинской помощи в амбулаторно-поликлинических условиях	Представить выписку с обоснованием необходимости стационарного лечения
517	Выставлен счет за профилактический осмотр взрослого населения (Z00.0)	Исключить персональный счет за профилактический предварительный и периодический медицинский осмотр
518	"Житель Краснодарского края выставлен как ""инокраевой"" (зарегистрирован в базе данных застрахованных)"	Внести уточненную территорию страхования
519	Не указано местонахождение СМО (для инокраевых)	Внести  местонахождение СМО
520	Выставленный диагноз требует уточнения	Изменить код МКБ-10 или код услуги в соответствии с первичной медицинской документацией
521	Код МКБ-10 предполагает некачественную медицинскую помощь	Представить выписку  с уточнением причины возникновения страхового случая
522	Неверно указаны (или отсутствуют) реквизиты паспорта	Внести уточненные реквизиты паспорта
523	Одно и то же поле паспортной части в счетах на одного пациента содержит разные данные	Привести в соответствие все параметры счета с медицинской документацией
524	Неверно указана или требует уточнения территория страхования	Внести уточненную территорию страхования
525	Случай оказания медицинской помощи требует проведения вневедомственной ЭКМП	Представить акт ЭОКМП (приложение №5 приказа №70 от 23.08.2000г.)
526	"В ""Адрес"" не указан (или неверно указан) район проживания"	"Заполните полу ""Адрес"" с уточненным названием района проживания"
527	"В ""Адрес"" неверно указан (или отсутствует) населенный пункт"	"Заполните полу ""Адрес"" с уточненным названием населенного пункта"
528	Возможна ошибка при заполнении даты рождения	Внести уточненные данные (в соответствии с первичной медицинской документацией)
529	Не соответствует территория проживания и территория страхования (для неработающего населения)	Внести уточненные данные - по месту постоянной регистрации в паспорте
530	Возврат не отработан	Отработать выставленные ранее причины возврата
531	Возврат по листу учета ОМУ	Представить объяснение по жалобе
532	Полис указанной СМО не действителен	Уточнить территорию страхования по адресу (по прописке в паспорте)
533	Профиль кода услуги не соответствует диагнозу (непрофильная госпитализация или амбулаторный прием)	Измените код услуги или диагноз
534	Наименование СМО не соответствует указанным реквизитам полиса	Правильно заполните реквизиты полиса
535	Длительность лечения превышает плановую длительность по этому диагнозу	Выстовите счет по модели
536	Случай оказания медицинской помощи требует проведения ведомственной ЭКМП	Представить вместе с <возвратным> счетом акт ведомственной ЭКМП
537	Диагноз не соответствует полу (или возрасту) пациента	Привести в соответствие диагноз и пол пациента
538	Превышение стоимости з.случая в амб.усл.: комп.усл.>1,или сочетание комп.усл. с приемом, вход.в модель, с не 0 тарифами	Неверно указано количество услуг законченного случая
539	Услуга с указанным диагнозом не подлежит оплате в системе ОМС по базовой программе	Удалите услугу
542	Нет соответствия между территорией страхования и наименованием СМО	Привести в соответсвие
543	"Некорректно заполнено поле ""Количество услуг"" (нереальное количество в 1 день)"	Привести в соответсвие
544	Дублирование услуг в один день по одной специальности	Удалить дублирование услуг
545	Неверно выставлен код медицинской услуги	Выставить код услуги в соответсвии с первичной медицинской документацией
546	Некорректно заполнен вид помощи	Уточнить вид помощи
547	(Применить) стандарт ОМП в соответствии с диагнозом	Перевыставить счёт по модели
549	Некорректно указан период лечения (дата обращения)	В поликлинике: выст. дату обращения, в стационаре внести в соотв. с перв. меддок. и пред доп инфор
550	Применен стандарт ОМП при незаконченном случае лечения	Выставить счет по тарифу Койко-дня данного отделения
553	Некорректно применен стандарт ОМП	Представить счет по Койко-дню (допустимые отклонения модели превышают 20% плановой длительности)
554	Выставлен счет за услугу, которая не могла быть оказана (превышение объема в стоматологии, выходные, праздничные дни и д	Удалить из счета неоказанные услуги
556	Услуга выставлена с ненулевым тарифом	Услуга должна быть выставлена с нулевым тарифом
559	Неверно выставлен тариф на услугу	Применить правильный тариф
560	Некорректно заполнены (или не заполнены) обязательные поля в счете	Заполнить все обязательные поля в счете (услуги,тарифы и т.д.)
561	Обосновать необходимость повторной госпитализации (или приёма)	Представить выписку с обоснованием повторной госпитализации (или приёма)
562	Оказанная медицинская помощь относится к высокотехнологичным видам (приложение № 8 Закон о Тер.прогр.)	Удалить, оплачивается из бюджета
563	Медицинская помощь, оказанная при диагнозе из рубрики Р00 - Р96 (МКБ-10) не оплачивается из средств ОМС	Исключить данный счет
565	Представленная медицинская помощь отдельно не выставляется, является частью другого тарифа	Удалить счет из реестра
566	Уточнить территорию проживания	Уточнить территорию проживания по регистрации в паспорте и перевыставить счет
567	Не найден в базе застрахованных другой территории (выясняли по телефону)	Уточнить территорию страхования
568	Применен код услуги, используемый в ортодонтии	Удалить услугу из счета
285	"Поле ""Код инокраевой СМО"" не соответствует справочнику"	"Заполнить поле ""Код инокраевой СМО"" в соответствии со справочником"
286	"Поле ""Код инокраевой СМО"" не соответствует территории страхования"	"Заполните значение поля ""Код инокраевой СМО"" в соответствии с территорией страхования"
287	"Поле ""Признак: услуга оказана в другой МО"" заполнено некорректно"	"Заполните значение поля ""Признак услуги, оказанной вдругой МО"" корректно"
144	"Поле ""Дата формирования реестра счетов"" содержит не последний день отчетного периода"	"В поле ""Дата формирования реестра счетов"" укажите последний день отчетного периода"
289	"Поле ""Признак: услуга оказана в другой МО"" не заполнено"	"Заполнить поле ""Признак: услуга оказана в другой МО"""
340	"Поле ""Код стандарта ОМП"" не заполнено"	"Заполнить поле ""Код стандарта ОМП"""
341	"Поле ""Код стандарта ОМП"" не соответствует справочнику"	"Заполнить поле ""Код стандарта ОМП"" корректно"
342	"Услуга ""Койко-день"" не соотвествует виду помощи, указанному в счете"	"Приведите в соответсвие услугу ""Койко-день"" и вид помощи в счете"
343	"Профиль койки в услуге ""Койко-день"" не соответствует профилю койки выставленному в счете"	"Приведите в соответствие услугу ""Койко-день"" и профиль койки в счете"
344	Поле код услуги не совпадает с кодом стандарта для услуги стандарт	Приведите в соответствие код услуги и код стандарта в счете
345	В счете присутствует услуга по стационару и поликлинике	Переформируйте персональный счет по видам помощи
346	Дублирование счета по услуге стационар и поликлиника в один день по одному пациенту	Удалите поликлиническую услугу из персонального счета
347	Код услуги не соответствует наименованию услуги	
700	"Некорректно заполнен ""Адрес"""	"Правильно заполните ""Адрес"""
707	"Некорректно или не заполнено поле ""ФИО сопровождающего лица"" (в счете на ребенка)"	"Правильно заполните поле ""ФИО сопровождающего лица"""
722	Неверно указаны реквизиты паспорта	Внести уточненные реквизиты паспорта
724	Неверно указана или требует уточнения территория страхования	Внести уточненную территорию страхования
759	Неверно выставлен тариф на услугу	Применить правильный тариф
348	"Услуга ""Стандарт"" не соответствует виду медицинской помощи"	Измените вид помощи или измените код услуги
290	Сумма к оплате по случаю заболевания равна 0	Проверьте правильность персонального счета или исключите его из реестра
701	"Некорректно заполнено поле ""Наименование инокраевой СМО"""	"Правильно заполните поле ""Наименование инокраевой СМО"""
702	"Некорректно заполнено поле ""Серия полиса"""	"Правильно заполните поле ""Серия полиса"""
703	"Некорректно заполнено поле ""Номер полиса"""	"Правильно заполните поле ""Номер полиса"""
704	"Некорректно заполнено поле ""Фамилия"""	"Правильно заполните поле ""Фамилия"""
705	"Некорректно заполнено поле ""Имя"""	"Правильно заполните поле ""Имя"""
706	"Некорректно заполнено поле ""Отчество"""	"Правильно заполните поле ""Отчество"""
708	Не заполнено место работы (для инокраевых)	Заполнить место работы
709	Категории граждан, медицинская помощь которым, не подлежит оплате из средств ОМС	Исключить персональный счет или уточнить полис ОМС
710	Указан полис ДМС	Исключить персональный счет или уточнить полис ОМС
717	Выставлен счет за профилактический осмотр взрослого населения (Z00.0)	Исключить персональный счет за профилактический предварительный и периодический медицинский осмотр
718	"Житель Краснодарского края выставлен как ""инокраевой"" (зарегистрирован в базе данных застрахованных)"	Внести уточненную территорию страхования
719	Не указано местонахождение СМО (для инокраевых)	Внести местонахождение СМО
723	Одно и то же поле паспортной части в счетах на одного пациента содержит разные данные	Привести в соответствие все параметры счета с медицинской документацией
726	Неверно указан район проживания	Уточните название района проживания
727	Неверно указан населенный пункт	Уточните название населенного пункта
728	Возможна ошибка при заполнении даты рождения	Внести уточненные данные (в соответствии с первичной медицинской документацией)
729	Не соответствует территория проживания и территория страхования (для неработающего населения)	Внести уточненные данные - по месту постоянной регистрации в паспорте
730	Возврат не отработан	Отработать выставленные ранее причины возврата
732	Полис указанной СМО не действителен	Уточнить территорию страхования по адресу (по прописке в паспорте)
733	Профиль кода услуги не соответствует диагнозу (непрофильная госпитализация или амбулаторный прием)	Измените код услуги или диагноз
734	Наименование СМО не соответствует указанным реквизитам полиса	Правильно заполните реквизиты полиса
742	Нет соответствия между территорией страхования и наименованием СМО	Привести в соответсвие
743	"Некорректно заполнено поле ""Количество услуг"" (нереальное количество в 1 день)"	Привести в соответсвие
749	Некорректно указан период лечения (дата обращения)	В поликлинике: выст. дату обращения, в стационаре внести в соотв. с перв. меддок. и пред доп инфор
765	Представленная медицинская помощь отдельно не выставляется, является частью другого тарифа	Удалить счет из реестра
766	Уточнить территорию проживания	Уточнить территорию проживания по регистрации в паспорте и перевыставить счет
767	Не найден в базе застрахованных другой территории (выясняли по телефону)	Уточнить территорию страхования
349	Дублирование посещения в один день к врачу одной специальности, внутри реестра	Удалите из персонального счета задублированное посещение
350	Дублирование посещения в один день к врачу одной специальности, в различных реестрах	Удалите из персонального счета задублированное посещение
351	"Значение в поле ""Пол"" не соответствует диагнозу"	"Приведите в соответствие значение в поле ""Пол"""
352	Превышение нормативной длительности лечения, указанной в стандарте ОМП (поле KSTAND)	Выставите счет по стандарту ОМП с учетом дельты, а сверхнормативное пребывание по Койко-дню
353	По стандарту ОМП не верно учтена нормативная длительность лечения (без учета дельты)	Увеличьте количество койко-дней по стандарту (с учетом верхнедопустимой дельты), а количество койко-дней по услуге Койко-день уменьшите
354	Указан не верный код стандарта ОМП для данного случая заболевания	Приведите в соответствие стандарт ОМП (поле KSTAND) данному диагнозу заболевания и возрастной группе (в соответствии с SPR38)
355	Дублирование посещения в один день к врачу одной специальности, в персональном счете	Удалите из персонального счета задублированное посещение
356	"Указан профиль отделения ""РЕАНИМАЦИОННОЕ"" c тарифом больше ""0"""	Удалите из счета услуги, оказанные в реанимационном отделении (реанимация не имеет своего индивидуального тарифа)
357	В счете отсутствует услуга по посещению врача в стоматологии (с нулевым тарифом)	Добавить в счет посещение врача стоматолога с нулевым тарифом
358	"Услуга ""B01.069.03-Оказание МП в приемном отделении"" оказана в период стационарного лечения пациента"	Исключите услугу B01.069.03 из персонального счета
359	Счет выставлен без учета нормативной длительности лечения по неоказываемому стандарту ОМП	Заполните поле KOLU в соответствии с длительностью (письмо №3366 от 09.09.09)
360	Оказаны услуги с видом помощи детская поликлиника или детская стоматология взрослому человеку	Заполните верно дату рождения пациента или исключите услугу с детским видом помощи
361	Мужчине в гинекологии оказаны медицинские услуги	Проверьте счет на корректность пола или набора медицинских услуг
